energy,s003,s004,s005,s006,s007,s009,s010,s011,mean
2.463119999999999891e+03,2.373337000000000103e-03,-9.148302999999999990e-03,-1.276906000000000070e-04,-3.623125000000000043e-03,1.236488999999999991e-02,3.694221000000000137e-03,8.287432000000000175e-04,-8.688355000000000036e-03,-2.907853000000001041e-04
2.463360000000000127e+03,7.640557999999999768e-04,4.383839999999999959e-03,-4.476540999999999680e-03,-1.434121000000000007e-03,-1.514375000000000096e-03,5.877616999999999911e-03,-1.857523999999999937e-03,-8.600854999999999698e-04,1.103582875000000060e-04
2.463599999999999909e+03,-1.068188999999999944e-02,-1.174989000000000068e-02,-5.449268999999999641e-03,-7.711378999999999543e-04,-1.012273999999999986e-02,-7.071430000000000294e-04,-5.830993999999999934e-03,-1.764909999999999960e-03,-5.884746737500000033e-03
2.463839999999999691e+03,-2.496228999999999983e-03,1.844439000000000018e-03,3.833764999999999829e-03,3.811460999999999929e-03,-1.801705999999999924e-03,-3.515519999999999843e-03,-7.691200999999999940e-03,1.732955999999999906e-03,-5.352543749999998926e-04
2.464079999999999927e+03,8.541813000000000530e-03,1.031302000000000087e-02,6.344658999999999889e-03,2.705822000000000088e-03,-8.432988000000000582e-05,-8.355802000000000715e-03,1.446554999999999976e-03,1.412266000000000042e-02,4.379299639999999737e-03
2.464319999999999709e+03,-3.894556999999999880e-03,6.198053999999999716e-03,-1.718490000000000035e-03,-3.056169000000000073e-03,-5.246713000000000071e-03,-1.226609000000000033e-03,3.421461000000000207e-03,-1.129219000000000099e-03,-8.315302500000000064e-04
2.464559999999999945e+03,1.094127999999999941e-02,-2.557741000000000094e-03,-6.834744000000000236e-03,6.050212000000000125e-03,2.615874999999999819e-04,4.663587000000000179e-04,-3.224711999999999804e-03,5.275311999999999883e-03,1.297194150000000046e-03
2.464799999999999727e+03,-5.547805000000000271e-03,7.165894999999999600e-04,8.428311000000000830e-03,-3.682941999999999813e-03,6.143383999999999998e-03,3.766877000000000072e-03,1.290766999999999956e-02,-8.688355000000000036e-03,1.755466187499999916e-03
2.465039999999999964e+03,4.618647000000000030e-03,-2.088054000000000212e-03,1.671706000000000017e-03,-1.367556999999999974e-02,-2.458108000000000081e-03,7.846561000000000161e-03,5.259577999999999996e-03,5.327183000000000092e-03,8.127428749999999515e-04
2.465279999999999745e+03,1.135291000000000078e-03,3.662607999999999923e-03,8.716602999999999851e-03,1.511158999999999983e-03,1.162174000000000020e-02,-3.242037000000000131e-03,-3.864793999999999847e-04,-1.624126000000000042e-03,2.674344825000000113e-03
2.465519999999999982e+03,2.691558000000000145e-03,-1.272841000000000033e-03,1.975653000000000131e-02,-3.246812999999999978e-04,2.777495999999999958e-03,-1.310853000000000062e-03,1.927654999999999993e-02,5.355313999999999908e-03,5.868634087499999610e-03
2.465759999999999764e+03,2.230062000000000103e-03,-1.436924000000000014e-03,1.088940000000000047e-03,-5.781920999999999762e-03,-5.930060000000000019e-03,7.973578999999999736e-03,3.825390000000000127e-03,1.328280000000000086e-02,1.906483250000000134e-03
