energy,s012,s013,s014,s015,s016,s017,s018,mean
2.463119999999999891e+03,-1.155195000000000007e-02,-7.440557000000000420e-03,-5.019265000000000185e-03,8.503739999999999216e-03,3.484165999999999912e-03,-1.520971999999999992e-03,-7.846037999999999841e-04,-2.047063114285714580e-03
2.463360000000000127e+03,1.274270000000000090e-03,-2.783152000000000108e-03,8.230090000000000669e-03,6.370558000000000340e-04,3.481962999999999812e-03,2.938128999999999828e-03,3.935476000000000252e-03,2.530547400000000315e-03
2.463599999999999909e+03,6.034340000000000233e-05,-6.863305000000000317e-04,2.899966999999999823e-03,-1.223368000000000025e-02,-2.108293999999999978e-04,-1.905631999999999986e-04,-1.040672999999999989e-03,-1.628823671428571542e-03
2.463839999999999691e+03,5.298037999999999706e-03,-1.458330999999999994e-03,-2.372030999999999923e-04,-1.223368000000000025e-02,-5.748574999999999692e-04,-6.752825999999999967e-03,-5.332001000000000275e-03,-3.041551514285714252e-03
2.464079999999999927e+03,2.281992999999999956e-03,-1.914771999999999915e-03,-2.138432000000000006e-03,-5.032214000000000131e-04,-2.400199999999999903e-03,-7.072448000000000276e-03,5.299967999999999737e-04,-1.602440514285714390e-03
2.464319999999999709e+03,-6.472236000000000352e-04,4.972831999999999947e-03,-2.774935000000000075e-03,-1.223368000000000025e-02,6.226800999999999690e-03,-4.794088999999999642e-03,-3.550577999999999981e-03,-1.828696085714285810e-03
2.464559999999999945e+03,6.120857000000000381e-03,4.862364999999999569e-03,4.558587999999999703e-03,1.035493999999999998e-02,-7.607393999999999962e-03,1.243569999999999919e-02,2.399889999999999955e-04,4.423577857142857277e-03
2.464799999999999727e+03,-2.836327000000000032e-03,4.447946000000000365e-03,-5.518809999999999862e-03,1.770853999999999831e-02,-2.399648999999999793e-03,4.957065000000000082e-03,6.002394000000000306e-03,3.194451285714285625e-03
2.465039999999999964e+03,-3.555826000000000212e-03,2.180436000000000006e-03,8.177090999999999180e-03,3.760785999999999903e-03,8.576703999999999231e-03,-4.252434999999999885e-05,3.450476999999999863e-04,2.777387764285714229e-03
2.465279999999999745e+03,1.260221000000000084e-02,1.600166000000000088e-02,1.177280999999999987e-02,1.320166000000000048e-02,1.218957000000000027e-02,9.602018000000000358e-03,1.061200999999999898e-03,1.091873271428571435e-02
2.465519999999999982e+03,1.086900000000000019e-02,3.040645000000000091e-05,7.260685999999999703e-03,-1.117244000000000050e-02,2.120537999999999937e-02,1.985885999999999901e-02,6.692489000000000630e-05,6.874116762857142467e-03
2.465759999999999764e+03,6.089185999999999904e-03,1.284418000000000018e-02,9.837139999999999426e-03,1.000663000000000073e-02,4.213569000000000342e-03,8.053700000000000442e-03,-4.179088000000000074e-03,6.695045285714286594e-03
2.466000000000000000e+03,-5.939121000000000331e-03,7.899638999999999966e-03,1.370041999999999961e-02,1.387998000000000010e-02,1.946070000000000091e-02,8.768998000000000070e-03,7.030291000000000144e-03,9.257272428571427028e-03
2.466239999999999782e+03,1.691238999999999937e-02,1.986564999999999859e-02,7.697072000000000115e-03,2.310334000000000096e-04,2.534207000000000126e-02,1.168352999999999926e-02,1.718259999999999926e-02,1.413062077142857031e-02
2.466479999999999563e+03,2.607560000000000086e-02,1.801896999999999874e-02,2.869048999999999905e-02,8.450592999999999300e-03,2.500461000000000003e-02,8.847970000000000140e-03,4.545427000000000321e-03,1.709052285714285704e-02
2.466719999999999800e+03,8.991667000000000062e-03,8.849947000000000369e-03,1.695158000000000081e-02,2.093746000000000062e-03,1.225137999999999922e-02,2.154543999999999904e-02,-1.805172999999999847e-02,7.518861428571428293e-03
2.466960000000000036e+03,1.945455999999999921e-02,2.288048999999999986e-02,2.653192000000000050e-02,3.132980999999999960e-03,2.653263000000000149e-02,2.140637000000000095e-02,6.958281999999999662e-03,1.812817614285714557e-02
2.467200000000000273e+03,2.125012000000000081e-02,1.964870999999999979e-02,2.394918000000000047e-02,9.432895000000000169e-03,2.371710000000000138e-02,2.221168999999999921e-02,2.143814999999999957e-02,2.023540642857142927e-02
2.467449999999999818e+03,1.208873000000000066e-02,4.618097000000000174e-02,3.192223000000000283e-02,2.538471999999999951e-02,9.796700000000000200e-03,-1.427745000000000012e-03,2.037465999999999930e-02,2.061718071428571622e-02
