energy,s023,s024,s025,mean
2.463119999999999891e+03,-1.795937999999999962e-03,-6.170674999999999598e-04,-2.960368000000000114e-03,-1.791124500000000229e-03
2.463360000000000127e+03,3.007800000000000035e-04,-7.353524000000000171e-03,2.988772000000000217e-03,-1.354657333333333588e-03
2.463599999999999909e+03,-5.330266000000000171e-03,-4.942603000000000274e-03,-5.729749999999999600e-03,-5.334206333333333348e-03
2.463839999999999691e+03,5.993452000000000024e-04,4.506620999999999717e-03,4.799191999999999868e-03,3.301719399999999971e-03
2.464079999999999927e+03,-1.926929000000000131e-04,5.143021000000000224e-03,-6.189394000000000189e-04,1.443796233333333352e-03
2.464319999999999709e+03,-9.047066000000000092e-04,-4.259278000000000022e-03,-2.794829999999999884e-03,-2.652938199999999719e-03
2.464559999999999945e+03,-7.919084999999999319e-03,1.790036000000000058e-03,-7.889038999999999600e-04,-2.305984299999999741e-03
2.464799999999999727e+03,1.524256000000000048e-02,5.732794000000000258e-03,5.104827000000000149e-03,8.693393666666666963e-03
2.465039999999999964e+03,-3.507065999999999873e-04,-3.346095999999999793e-03,1.312873999999999899e-03,-7.946428666666666271e-04
2.465279999999999745e+03,1.689161000000000004e-03,1.821221999999999945e-03,-2.841758999999999908e-04,1.075402366666666472e-03
2.465519999999999982e+03,5.362734000000000077e-03,5.615499999999999832e-03,1.238432000000000074e-02,7.787518000000000218e-03
2.465759999999999764e+03,-3.871321000000000050e-03,5.673494000000000280e-03,4.687054999999999867e-03,2.163075999999999888e-03
2.466000000000000000e+03,2.359326999999999952e-02,-5.219999000000000340e-03,2.211626999999999864e-03,6.861632666666666637e-03
2.466239999999999782e+03,1.160286999999999950e-02,6.773847000000000375e-03,-4.657983000000000089e-03,4.572911333333332974e-03
2.466479999999999563e+03,9.684840000000000115e-03,2.761080999999999952e-02,9.800843000000000055e-03,1.569883099999999990e-02
2.466719999999999800e+03,1.629987999999999923e-02,2.259020000000000125e-02,1.795849999999999877e-02,1.894952666666666410e-02
2.466960000000000036e+03,5.731476999999999579e-03,8.579270999999999425e-03,1.701483000000000162e-02,1.044185933333333267e-02
2.467200000000000273e+03,1.300673999999999927e-02,2.181545999999999833e-02,1.767588999999999966e-02,1.749936333333333358e-02
2.467449999999999818e+03,9.713462000000000832e-03,2.600778999999999938e-02,3.616515000000000007e-02,2.396213399999999952e-02
2.467690000000000055e+03,3.784371000000000262e-02,2.702755999999999909e-02,2.872316000000000105e-02,3.119814333333333425e-02
2.467929999999999836e+03,3.275708000000000092e-02,4.362879000000000063e-02,3.639889999999999792e-02,3.759492333333332853e-02
2.468170000000000073e+03,5.997745000000000160e-02,6.319917999999999370e-02,6.108638000000000262e-02,6.142100333333333495e-02
2.468409999999999854e+03,9.711232000000000197e-02,1.288311000000000039e-01,1.625520000000000020e-01,1.294984733333333360e-01
