energy,s026,s027,s028,s029,s030,s031,mean
2.463119999999999891e+03,-8.027057000000000636e-03,4.733160999999999619e-03,-1.318780999999999990e-03,-1.453854000000000084e-03,6.397598000000000000e-03,4.771496999999999761e-04,1.347027833333331746e-04
2.463360000000000127e+03,9.262917000000000720e-03,8.585456999999999681e-04,1.655784999999999896e-03,8.138562000000000227e-04,4.266734999999999799e-03,-1.376595999999999896e-03,2.580207149999999994e-03
2.463599999999999909e+03,-1.283513000000000015e-02,-8.444313999999999640e-03,-4.742510999999999602e-03,-1.990200000000000129e-03,8.358294000000000487e-03,-6.879424999999999776e-03,-4.422214333333333858e-03
2.463839999999999691e+03,-6.739717000000000104e-03,-2.166393999999999872e-03,3.705709000000000173e-03,5.854149999999999805e-03,-1.356171999999999933e-02,-3.279672999999999877e-03,-2.697940833333333562e-03
2.464079999999999927e+03,9.172173999999999952e-03,3.403454000000000093e-04,8.375667999999999308e-03,-1.257118999999999901e-03,-1.669948999999999999e-03,-1.268653000000000012e-03,2.282077733333332838e-03
2.464319999999999709e+03,9.953965999999999422e-04,1.981356000000000089e-03,6.552266000000000166e-03,-1.734676000000000100e-03,-7.981405999999999917e-03,3.301914999999999885e-03,5.191419333333335611e-04
2.464559999999999945e+03,1.107382999999999978e-02,-3.032022000000000102e-03,-7.903316000000000507e-03,-1.204999999999999995e-02,-2.930405000000000076e-03,4.607608000000000016e-03,-1.705717500000000428e-03
2.464799999999999727e+03,-2.902416000000000110e-03,5.729322000000000234e-03,-6.324820000000000095e-03,1.181784999999999954e-02,7.120852000000000431e-03,4.417673000000000433e-03,3.309743500000000144e-03
2.465039999999999964e+03,1.785023999999999986e-02,9.446994000000000441e-04,1.218644999999999971e-03,-1.881766999999999902e-03,-8.992252000000000654e-05,-8.708370000000000000e-03,1.555587479999999802e-03
2.465279999999999745e+03,4.278062000000000011e-03,-8.190734999999999769e-04,2.209782000000000066e-02,1.058423000000000003e-02,1.254403999999999936e-02,7.009543000000000024e-03,9.282436916666665996e-03
2.465519999999999982e+03,7.204719000000000054e-03,9.870579000000000852e-03,2.338016999999999873e-02,2.606454999999999883e-02,2.924983000000000249e-04,3.061494000000000021e-02,1.623790938333333211e-02
2.465759999999999764e+03,4.319357999999999705e-03,2.230390999999999971e-02,2.297284999999999952e-02,3.197289999999999854e-02,1.301176000000000069e-02,1.810165999999999858e-02,1.878040633333333265e-02
2.466000000000000000e+03,3.164370999999999851e-02,2.751889000000000071e-02,3.042676999999999882e-02,2.184196000000000054e-02,2.993020000000000055e-02,2.072010000000000171e-02,2.701360499999999609e-02
2.466239999999999782e+03,2.225546000000000121e-02,7.794403000000000095e-03,2.845616000000000118e-02,1.674602999999999856e-02,2.724224999999999910e-02,2.829208000000000070e-02,2.179773050000000101e-02
2.466479999999999563e+03,2.419084000000000165e-03,1.516265999999999968e-02,1.242467000000000051e-02,1.869871000000000033e-02,5.409182000000000226e-03,2.343765999999999905e-02,1.292532766666666666e-02
2.466719999999999800e+03,7.507920999999999866e-03,1.800420000000000145e-02,2.506624000000000005e-02,2.010543000000000052e-02,1.910904000000000075e-02,1.553527000000000033e-02,1.755468349999999775e-02
2.466960000000000036e+03,2.538815999999999989e-02,2.530564000000000077e-02,4.185661999999999716e-02,1.870648999999999923e-02,3.740927000000000141e-02,1.964926000000000172e-02,2.805257333333333047e-02
2.467200000000000273e+03,3.891868999999999884e-02,2.155220000000000052e-02,2.742411000000000154e-02,3.955074000000000090e-02,5.777156999999999779e-03,1.209915999999999943e-02,2.422034283333333524e-02
2.467449999999999818e+03,3.039661999999999920e-02,2.134737000000000093e-02,3.065943999999999961e-02,3.201298999999999811e-02,2.054885999999999865e-02,3.519864999999999799e-02,2.836065499999999850e-02
2.467690000000000055e+03,4.788830000000000170e-02,6.423309000000000657e-02,5.201398000000000132e-02,4.856202999999999909e-02,4.609956999999999944e-02,3.165852999999999723e-02,4.840925000000000783e-02
