energy,s032,s033,mean
2.463119999999999891e+03,-1.238563999999999984e-02,-9.296069000000000554e-03,-1.084085450000000020e-02
2.463360000000000127e+03,2.003929000000000214e-03,-2.878779000000000147e-03,-4.374249999999999666e-04
2.463599999999999909e+03,1.263571999999999959e-02,-1.550638999999999924e-03,5.542540500000000050e-03
2.463839999999999691e+03,1.249776999999999876e-04,1.661243999999999980e-05,7.079506999999999369e-05
2.464079999999999927e+03,3.528630999999999955e-03,5.269967999999999875e-03,4.399299500000000349e-03
2.464319999999999709e+03,-3.508977999999999837e-03,5.230389000000000219e-03,8.607055000000001909e-04
2.464559999999999945e+03,9.278532000000000359e-04,-1.990126999999999955e-03,-5.311368999999999596e-04
2.464799999999999727e+03,-3.326496999999999874e-03,5.198645000000000002e-03,9.360740000000000640e-04
2.465039999999999964e+03,9.680166999999999938e-03,1.037299000000000034e-02,1.002657850000000100e-02
2.465279999999999745e+03,-1.238563999999999984e-02,-9.296069000000000554e-03,-1.084085450000000020e-02
2.465519999999999982e+03,3.417545000000000131e-03,4.326484999999999706e-03,3.872014999999999919e-03
2.465759999999999764e+03,2.274009999999999920e-02,1.895550000000000013e-02,2.084779999999999966e-02
2.466000000000000000e+03,-1.238563999999999984e-02,1.384321999999999983e-02,7.287899999999999934e-04
2.466239999999999782e+03,3.389103999999999728e-02,4.174070999999999684e-03,1.903255549999999935e-02
2.466479999999999563e+03,-1.238563999999999984e-02,1.341242999999999949e-02,5.133949999999998237e-04
2.466719999999999800e+03,-4.774302999999999707e-03,-2.294294000000000108e-03,-3.534298499999999690e-03
2.466960000000000036e+03,2.166981999999999936e-02,-9.296069000000000554e-03,6.186875499999999403e-03
2.467200000000000273e+03,-9.383972999999999880e-04,6.712916999999999669e-03,2.887259849999999732e-03
2.467449999999999818e+03,2.012821000000000055e-02,5.882474000000000383e-03,1.300534199999999960e-02
2.467690000000000055e+03,3.461925999999999892e-02,2.209066999999999888e-03,1.841416350000000049e-02
2.467929999999999836e+03,5.168901000000000051e-02,2.450294999999999904e-02,3.809598000000000151e-02
2.468170000000000073e+03,2.350874000000000019e-02,5.074709000000000164e-02,3.712791499999999745e-02
2.468409999999999854e+03,3.389215999999999757e-02,8.724632999999999694e-02,6.056924499999999378e-02
2.468649999999999636e+03,8.671162999999999788e-02,9.588600999999999375e-02,9.129882000000000275e-02
2.468889999999999873e+03,1.167495999999999950e-01,9.973300000000000221e-02,1.082412999999999986e-01
2.469139999999999873e+03,2.757002999999999884e-02,3.971782000000000090e-02,3.364392499999999814e-02
