energy,s040,mean
2.463119999999999891e+03,1.397610000000000085e-03,1.397610000000000085e-03
2.463360000000000127e+03,-6.557465999999999642e-03,-6.557465999999999642e-03
2.463599999999999909e+03,1.124062999999999972e-02,1.124062999999999972e-02
2.463839999999999691e+03,-3.208231000000000190e-03,-3.208231000000000190e-03
2.464079999999999927e+03,2.666111999999999996e-03,2.666111999999999996e-03
2.464319999999999709e+03,1.567208000000000143e-02,1.567208000000000143e-02
2.464559999999999945e+03,-1.753737000000000004e-02,-1.753737000000000004e-02
2.464799999999999727e+03,-3.673362999999999802e-03,-3.673362999999999802e-03
2.465039999999999964e+03,6.991169999999999676e-03,6.991169999999999676e-03
2.465279999999999745e+03,9.718787999999999689e-04,9.718787999999999689e-04
2.465519999999999982e+03,9.824819999999999734e-03,9.824819999999999734e-03
2.465759999999999764e+03,7.176784000000000288e-03,7.176784000000000288e-03
2.466000000000000000e+03,1.394150000000000033e-03,1.394150000000000033e-03
2.466239999999999782e+03,7.521940999999999870e-03,7.521940999999999870e-03
2.466479999999999563e+03,3.193379999999999830e-02,3.193379999999999830e-02
2.466719999999999800e+03,2.909273000000000067e-02,2.909273000000000067e-02
2.466960000000000036e+03,2.170031000000000043e-02,2.170031000000000043e-02
2.467200000000000273e+03,4.091626999999999591e-03,4.091626999999999591e-03
2.467449999999999818e+03,4.775030000000000246e-02,4.775030000000000246e-02
2.467690000000000055e+03,3.511319999999999719e-02,3.511319999999999719e-02
2.467929999999999836e+03,6.471398000000000428e-02,6.471398000000000428e-02
2.468170000000000073e+03,1.400572999999999957e-01,1.400572999999999957e-01
2.468409999999999854e+03,2.029685999999999990e-01,2.029685999999999990e-01
2.468649999999999636e+03,3.261100000000000110e-01,3.261100000000000110e-01
2.468889999999999873e+03,2.493856000000000128e-01,2.493856000000000128e-01
2.469139999999999873e+03,2.244812999999999947e-01,2.244812999999999947e-01
2.469380000000000109e+03,1.174174999999999941e-01,1.174174999999999941e-01
2.469619999999999891e+03,1.325163000000000035e-01,1.325163000000000035e-01
2.469860000000000127e+03,1.564098999999999906e-01,1.564098999999999906e-01
2.470099999999999909e+03,1.707375999999999894e-01,1.707375999999999894e-01
2.470349999999999909e+03,3.664464000000000055e-01,3.664464000000000055e-01
2.470590000000000146e+03,4.963635000000000130e-01,4.963635000000000130e-01
2.470829999999999927e+03,4.820856000000000030e-01,4.820856000000000030e-01
2.471070000000000164e+03,5.750832000000000166e-01,5.750832000000000166e-01
2.471320000000000164e+03,5.971130000000000049e-01,5.971130000000000049e-01
2.471560000000000400e+03,6.124193999999999471e-01,6.124193999999999471e-01
2.471800000000000182e+03,6.057213000000000180e-01,6.057213000000000180e-01
2.472039999999999964e+03,5.618066999999999922e-01,5.618066999999999922e-01
2.472289999999999964e+03,5.813089000000000173e-01,5.813089000000000173e-01
2.472529999999999745e+03,5.949522999999999895e-01,5.949522999999999895e-01
2.472769999999999982e+03,5.270428999999999808e-01,5.270428999999999808e-01
2.473019999999999982e+03,4.956092000000000275e-01,4.956092000000000275e-01
2.473259999999999764e+03,4.984753000000000100e-01,4.984753000000000100e-01
2.473500000000000000e+03,5.513989000000000251e-01,5.513989000000000251e-01
2.473750000000000000e+03,5.746563000000000088e-01,5.746563000000000088e-01
2.473990000000000236e+03,5.708064999999999944e-01,5.708064999999999944e-01
