energy,s042,s043,s044,s045,mean
2.463119999999999891e+03,-1.553921999999999899e-03,1.356718999999999981e-02,-6.295629000000000502e-04,-5.298932000000000121e-03,1.521193275000000096e-03
2.463360000000000127e+03,-3.388454999999999852e-03,-1.214557999999999957e-02,-4.721061999999999828e-03,-1.127966000000000038e-02,-7.883689249999999149e-03
2.463599999999999909e+03,-1.351327999999999948e-03,2.369907999999999997e-03,8.890185000000000101e-03,-5.246432999999999999e-03,1.165582999999999984e-03
2.463839999999999691e+03,7.534965000000000239e-03,1.204592999999999983e-02,-4.481984999999999745e-04,4.396564999999999848e-03,5.882315375000000610e-03
2.464079999999999927e+03,-1.275770000000000029e-02,-1.214557999999999957e-02,-4.234909999999999716e-03,1.723471000000000031e-02,-2.975870000000000251e-03
2.464319999999999709e+03,-1.146447999999999998e-03,-8.074583999999999234e-03,-7.330436000000000070e-03,-7.661842999999999779e-03,-6.053327750000000312e-03
2.464559999999999945e+03,-4.526492000000000016e-03,-4.860357000000000045e-03,-4.227136999999999843e-04,8.967574000000000725e-03,-2.104971749999997623e-04
2.464799999999999727e+03,1.718938000000000063e-02,9.243072999999999220e-03,8.896698999999999233e-03,-1.111971999999999917e-03,8.554294999999999954e-03
2.465039999999999964e+03,-1.247404000000000047e-02,1.103231000000000003e-02,-1.941510999999999985e-04,1.167798999999999920e-02,2.510527224999999779e-03
2.465279999999999745e+03,7.474416000000000219e-03,7.597432000000000317e-03,7.981419999999999487e-03,8.671819000000000749e-03,7.931271749999999759e-03
2.465519999999999982e+03,8.261314999999999978e-03,2.351864999999999858e-02,2.801178000000000034e-05,-5.022714999999999645e-03,6.696315444999999082e-03
2.465759999999999764e+03,-1.048247000000000068e-02,4.871683999999999737e-02,1.305620000000000044e-02,6.548733000000000158e-03,1.445982574999999867e-02
2.466000000000000000e+03,4.789000999999999675e-02,9.081024000000000040e-03,1.384108000000000040e-02,4.058536000000000088e-02,2.784936849999999908e-02
2.466239999999999782e+03,2.017976000000000145e-02,1.773216999999999849e-02,4.714117000000000307e-03,2.849577999999999833e-02,1.778045674999999964e-02
2.466479999999999563e+03,-5.321095999999999986e-03,2.444442999999999963e-02,1.546238999999999947e-02,5.933955999999999779e-03,1.012991999999999886e-02
2.466719999999999800e+03,-3.578634999999999932e-04,1.355783999999999982e-02,1.608247999999999969e-02,2.648738999999999955e-02,1.394246162499999941e-02
2.466960000000000036e+03,2.862187000000000064e-02,2.390747000000000011e-02,8.721962999999999244e-03,2.856191000000000112e-03,1.602687350000000024e-02
2.467200000000000273e+03,2.433864000000000166e-02,2.496204999999999952e-02,1.398872999999999957e-02,2.669082000000000052e-02,2.249506000000000075e-02
2.467449999999999818e+03,2.467967000000000077e-02,5.229620000000000102e-02,1.893573999999999952e-02,-1.079926999999999970e-02,2.127808500000000214e-02
2.467690000000000055e+03,5.665557000000000232e-02,4.873870999999999759e-02,2.255913999999999836e-02,4.218046999999999769e-02,4.253347250000000246e-02
2.467929999999999836e+03,3.232764999999999944e-02,8.932102999999999571e-02,2.260519999999999891e-02,3.698752999999999763e-02,4.531035249999999792e-02
2.468170000000000073e+03,9.755893000000000204e-02,1.038421999999999956e-01,1.004844000000000015e-01,6.047450000000000048e-02,9.059000749999998603e-02
2.468409999999999854e+03,1.714218000000000131e-01,1.391070000000000084e-01,1.169135000000000035e-01,1.157224000000000030e-01,1.357911750000000140e-01
2.468649999999999636e+03,2.058986999999999901e-01,2.069613999999999898e-01,1.762836999999999876e-01,1.861115999999999882e-01,1.938138500000000097e-01
2.468889999999999873e+03,2.595480000000000009e-01,2.100545000000000051e-01,1.716233000000000064e-01,1.877299000000000051e-01,2.072389250000000183e-01
2.469139999999999873e+03,1.305142999999999998e-01,1.655581000000000136e-01,1.862936000000000036e-01,7.284387999999999974e-02,1.388024700000000111e-01
2.469380000000000109e+03,1.395521999999999874e-01,6.395649999999999946e-02,1.184197000000000027e-01,1.528999000000000053e-01,1.187070749999999952e-01
2.469619999999999891e+03,1.200596000000000024e-01,8.641881999999999342e-02,8.203045000000000475e-02,5.920273999999999676e-02,8.692790250000000107e-02
2.469860000000000127e+03,1.206290000000000001e-01,1.205586000000000019e-01,1.086749000000000048e-01,1.209231000000000056e-01,1.176964000000000066e-01
2.470099999999999909e+03,2.526696999999999971e-01,2.258674999999999988e-01,1.788642000000000010e-01,1.760233999999999965e-01,2.083561999999999914e-01
2.470349999999999909e+03,4.227035000000000098e-01,2.721208999999999989e-01,3.221878000000000242e-01,1.788915000000000088e-01,2.989759249999999757e-01
2.470590000000000146e+03,4.247150000000000092e-01,3.102340000000000098e-01,4.549586999999999937e-01,3.113774000000000264e-01,3.753212750000000097e-01
2.470829999999999927e+03,5.037431999999999466e-01,4.071446000000000232e-01,4.655136999999999747e-01,2.607530000000000125e-01,4.092886250000000170e-01
2.471070000000000164e+03,5.191116000000000064e-01,4.493670000000000164e-01,4.547782000000000213e-01,3.229347000000000190e-01,4.365478750000000296e-01
2.471320000000000164e+03,5.839233999999999813e-01,4.117999999999999994e-01,4.530365000000000086e-01,3.773444000000000242e-01,4.565260749999999756e-01
2.471560000000000400e+03,4.933848000000000122e-01,4.233709999999999973e-01,4.476664000000000199e-01,3.952448000000000072e-01,4.399167499999999675e-01
2.471800000000000182e+03,6.338289999999999758e-01,4.312331999999999832e-01,4.789487000000000050e-01,5.462770000000000126e-01,5.225719749999999664e-01
2.472039999999999964e+03,5.181822999999999846e-01,3.418802000000000230e-01,5.251217000000000246e-01,3.967108999999999774e-01,4.454737749999999608e-01
2.472289999999999964e+03,6.258023000000000335e-01,5.998181999999999681e-01,4.663743000000000194e-01,4.087947000000000108e-01,5.251973749999999663e-01
2.472529999999999745e+03,5.213746999999999687e-01,4.539213000000000275e-01,4.981981999999999799e-01,3.635723000000000149e-01,4.592666249999999839e-01
