energy,s050,s051,s052,s053,s054,mean
2.463119999999999891e+03,-9.654318999999999748e-03,-5.777367000000000266e-03,2.013945999999999911e-04,2.006557999999999866e-03,-6.537695999999999959e-03,-3.952285879999999779e-03
2.463360000000000127e+03,-5.452512999999999978e-03,-1.181245000000000038e-02,-9.238648999999999820e-03,3.913409999999999979e-03,-8.625733999999999485e-03,-6.243187200000000804e-03
2.463599999999999909e+03,-3.131348999999999851e-03,5.155764999999999654e-03,6.987077999999999865e-03,-3.524624000000000073e-03,-4.934479999999999769e-03,1.104779999999999678e-04
2.463839999999999691e+03,3.625966999999999905e-03,-5.875599999999999920e-03,2.018270999999999954e-02,-3.706408999999999919e-03,2.697901999999999852e-03,3.384913999999999284e-03
2.464079999999999927e+03,-3.204620999999999945e-03,3.916184999999999979e-03,-3.265103000000000102e-03,9.948883000000000379e-03,2.804018000000000135e-03,2.039872400000000002e-03
2.464319999999999709e+03,1.808001000000000053e-03,2.945043999999999960e-03,-4.431466999999999698e-03,-4.287774000000000273e-03,1.066539000000000029e-02,1.339838800000000153e-03
2.464559999999999945e+03,5.364395999999999574e-03,5.329275999999999978e-03,-5.510792999999999942e-03,-5.815500999999999830e-03,4.308872000000000049e-03,7.352500000000000095e-04
2.464799999999999727e+03,1.064443999999999980e-02,6.119145000000000313e-03,-4.925175000000000386e-03,1.465457000000000088e-03,-3.782691000000000135e-04,2.585119580000000156e-03
2.465039999999999964e+03,9.033720000000000291e-03,2.285552000000000156e-03,7.272398000000000230e-03,-1.107577000000000041e-02,2.004636000000000178e-03,1.904107200000000220e-03
2.465279999999999745e+03,8.248395999999999853e-03,1.203046999999999971e-02,9.749456999999999568e-03,1.110709000000000002e-02,-8.242216000000000126e-03,6.578639399999999977e-03
2.465519999999999982e+03,1.499374000000000019e-02,6.907222000000000188e-03,3.665755000000000142e-04,-1.107577000000000041e-02,2.221895000000000207e-03,2.682732499999999909e-03
2.465759999999999764e+03,-4.510941000000000083e-03,1.090873000000000016e-02,4.357761999999999834e-04,1.839876000000000011e-02,8.707105999999999180e-03,6.787886239999998961e-03
2.466000000000000000e+03,2.196470999999999840e-02,1.309335999999999920e-03,2.615788999999999961e-02,4.973883999999999597e-03,6.278083999999999748e-03,1.213678080000000006e-02
2.466239999999999782e+03,7.096446999999999651e-03,1.780135000000000051e-02,1.191614000000000041e-02,2.355267000000000124e-02,2.523448999999999831e-02,1.712021940000000089e-02
