energy,s004,s005,s006,s007,s008,s009,s010,mean
2.463119999999999891e+03,1.480255999999999944e-04,8.461201999999999699e-04,-8.578775000000000289e-03,-3.966174999999999735e-03,4.149888000000000014e-03,-1.354294999999999935e-03,-9.574935999999999170e-03,-2.618592457142857304e-03
2.463360000000000127e+03,9.565653000000000350e-03,-3.018868000000000181e-04,-6.274550999999999740e-03,-2.116760999999999990e-03,-8.932146000000000183e-04,-7.480791999999999780e-04,7.105229999999999706e-03,9.051986285714287012e-04
2.463599999999999909e+03,8.292684999999999293e-03,-1.898397999999999926e-03,3.931508000000000225e-03,1.750342999999999908e-03,1.227426000000000038e-02,-2.049471000000000192e-03,-1.025239999999999962e-04,3.171200428571428233e-03
2.463839999999999691e+03,-5.188548999999999765e-03,6.878646000000000413e-03,-2.904751000000000121e-03,6.267136999999999881e-03,-7.714411000000000011e-03,3.138128999999999919e-04,-4.927820999999999764e-03,-1.039419442857142861e-03
2.464079999999999927e+03,4.719731999999999920e-03,4.194784000000000013e-03,-1.182449000000000000e-02,-1.150839000000000029e-02,-7.679245000000000342e-03,-1.495874999999999982e-02,9.934715999999999686e-03,-3.874520428571428133e-03
2.464319999999999709e+03,-1.384247000000000082e-02,2.040736000000000026e-03,-4.019314999999999867e-03,7.637622999999999635e-04,1.185776000000000018e-02,1.363673999999999963e-02,-7.755041999999999535e-04,1.380244157142856976e-03
2.464559999999999945e+03,-2.033941000000000048e-03,-1.212923999999999947e-02,2.495032000000000152e-02,1.038478999999999965e-02,1.486656999999999952e-03,-3.153575000000000041e-04,-9.574935999999999170e-03,1.824041785714285721e-03
2.464799999999999727e+03,-1.661132999999999967e-03,3.692414999999999782e-04,4.720049999999999940e-03,-1.574700999999999965e-03,-1.348168999999999930e-02,5.475406999999999844e-03,7.915775999999999368e-03,2.518500714285715225e-04
2.465039999999999964e+03,-4.289710999999999871e-03,8.567816000000000667e-03,1.311289000000000031e-02,1.261774000000000055e-02,-3.623879999999999896e-03,1.999628999999999990e-02,1.410528999999999950e-02,8.640919285714285941e-03
2.465279999999999745e+03,-6.509939000000000177e-03,2.034269999999999828e-02,-7.381617000000000040e-03,2.953713000000000172e-03,5.326298999999999617e-03,8.418263999999999955e-03,-1.728320999999999894e-03,3.060156999999999548e-03
