energy,s025,s026,s027,mean
2.463119999999999891e+03,1.708462000000000001e-03,1.722786999999999930e-03,1.766049000000000004e-03,1.732432666666666428e-03
2.463360000000000127e+03,-1.392391999999999935e-02,-1.260924000000000073e-02,5.057283000000000091e-03,-7.158625666666667241e-03
2.463599999999999909e+03,2.785105999999999866e-03,3.086895000000000090e-03,-9.986424000000000689e-03,-1.371474333333333505e-03
2.463839999999999691e+03,4.965121999999999765e-03,-5.531692000000000380e-03,5.774785000000000161e-03,1.736071666666666588e-03
2.464079999999999927e+03,3.705042999999999878e-03,-2.218833999999999824e-03,-6.501924000000000071e-03,-1.671905000000000223e-03
2.464319999999999709e+03,4.714386000000000097e-04,7.375467000000000134e-03,4.962554999999999571e-03,4.269820199999999760e-03
2.464559999999999945e+03,6.853037000000000191e-03,8.138440000000000257e-03,1.009343000000000002e-03,5.333606666666666600e-03
2.464799999999999727e+03,-6.564285000000000432e-03,3.617590000000000036e-05,-2.081667000000000153e-03,-2.869925366666666814e-03
2.465039999999999964e+03,-7.734848000000000114e-04,1.567814999999999964e-03,-9.986424000000000689e-03,-3.064031266666666659e-03
2.465279999999999745e+03,-5.259452999999999871e-03,1.067023999999999924e-02,1.831589999999999911e-03,2.414125666666666354e-03
2.465519999999999982e+03,6.866570000000000226e-04,8.803706999999999158e-03,1.207065000000000048e-02,7.187004666666666625e-03
2.465759999999999764e+03,-1.470279000000000030e-02,2.300730999999999870e-03,1.420735000000000053e-02,6.017636666666668086e-04
2.466000000000000000e+03,1.767623999999999931e-02,3.433311000000000002e-02,2.215212000000000084e-02,2.472048999999999774e-02
2.466239999999999782e+03,9.393589000000000799e-03,8.226097999999999397e-03,1.299635000000000026e-02,1.020534566666666740e-02
2.466479999999999563e+03,2.035558000000000159e-02,9.187059000000000024e-04,6.081422000000000390e-03,9.118569300000000516e-03
2.466719999999999800e+03,5.226942000000000480e-04,2.321973000000000092e-02,2.452611999999999848e-02,1.608951473333333423e-02
2.466960000000000036e+03,-1.470279000000000030e-02,3.072493999999999833e-03,1.794538000000000036e-02,2.105028000000000107e-03
2.467200000000000273e+03,1.492589000000000068e-02,9.725001000000000478e-03,2.167898999999999868e-02,1.544329366666666835e-02
2.467449999999999818e+03,1.614132999999999887e-02,2.236172999999999980e-02,3.086801000000000128e-02,2.312369000000000230e-02
2.467690000000000055e+03,3.810590999999999978e-02,3.665643999999999847e-02,2.264518999999999907e-02,3.246918000000000026e-02
2.467929999999999836e+03,5.544381000000000309e-02,6.178681999999999924e-02,6.721675000000000566e-02,6.148245999999999573e-02
2.468170000000000073e+03,9.516884000000000454e-02,8.370263999999999482e-02,5.648997000000000046e-02,7.845381666666666198e-02
2.468409999999999854e+03,1.852923999999999960e-01,1.609971000000000041e-01,1.498121000000000036e-01,1.653672000000000197e-01
2.468649999999999636e+03,3.045820000000000194e-01,1.609385000000000121e-01,2.592887999999999860e-01,2.416030999999999873e-01
2.468889999999999873e+03,1.527799999999999991e-01,2.614863000000000048e-01,2.179898999999999865e-01,2.107520666666666542e-01
2.469139999999999873e+03,1.697402000000000077e-01,1.539174000000000098e-01,1.496177999999999952e-01,1.577584666666666802e-01
2.469380000000000109e+03,1.072928999999999966e-01,1.110233000000000053e-01,9.166931999999999858e-02,1.033285066666666668e-01
2.469619999999999891e+03,1.198927999999999938e-01,1.191060000000000035e-01,1.118636999999999965e-01,1.169541666666666785e-01
2.469860000000000127e+03,1.555439000000000127e-01,1.414602000000000082e-01,1.441707000000000127e-01,1.470582666666666594e-01
2.470099999999999909e+03,1.741740999999999984e-01,2.118759000000000059e-01,1.955461000000000005e-01,1.938653666666666775e-01
2.470349999999999909e+03,3.703645999999999883e-01,3.228841000000000072e-01,3.826544000000000056e-01,3.586343666666667040e-01
2.470590000000000146e+03,4.467445999999999917e-01,4.402410999999999963e-01,4.274618000000000029e-01,4.381491666666666451e-01
2.470829999999999927e+03,5.084397000000000499e-01,4.994168999999999969e-01,5.066901000000000321e-01,5.048488999999999338e-01
2.471070000000000164e+03,4.838122000000000256e-01,5.907191000000000525e-01,5.719526000000000332e-01,5.488279666666667778e-01
2.471320000000000164e+03,5.240974000000000466e-01,4.854175000000000018e-01,4.246155999999999819e-01,4.780435000000000656e-01
2.471560000000000400e+03,5.375588999999999507e-01,5.197005999999999570e-01,3.825014999999999943e-01,4.799203333333332822e-01
2.471800000000000182e+03,4.769487000000000032e-01,4.489273999999999765e-01,4.589035000000000197e-01,4.615931999999999813e-01
2.472039999999999964e+03,5.084094000000000113e-01,5.610055999999999932e-01,5.028310000000000279e-01,5.240820000000000478e-01
2.472289999999999964e+03,5.172504999999999464e-01,4.467799000000000076e-01,4.895068000000000197e-01,4.845124000000000097e-01
2.472529999999999745e+03,4.441470000000000140e-01,4.523015000000000230e-01,4.297113000000000183e-01,4.420532666666667221e-01
2.472769999999999982e+03,3.977302999999999811e-01,3.293149000000000215e-01,4.463193999999999773e-01,3.911215333333333266e-01
2.473019999999999982e+03,5.391738000000000364e-01,4.271441999999999739e-01,4.152592999999999979e-01,4.605257666666666694e-01
2.473259999999999764e+03,4.326319000000000137e-01,4.888777999999999735e-01,4.895509000000000110e-01,4.703535333333332957e-01
2.473500000000000000e+03,4.582202000000000219e-01,4.895936000000000177e-01,4.655258999999999925e-01,4.711132333333333810e-01
2.473750000000000000e+03,4.674765000000000170e-01,5.677010000000000112e-01,4.480127999999999888e-01,4.943967666666666538e-01
2.473990000000000236e+03,5.003398000000000012e-01,4.584257999999999944e-01,4.021441000000000043e-01,4.536365666666666852e-01
2.474230000000000018e+03,4.325860000000000261e-01,4.931409999999999960e-01,3.915684999999999860e-01,4.390985000000000027e-01
2.474479999999999563e+03,4.324950000000000183e-01,4.972267000000000214e-01,4.327474000000000043e-01,4.541563666666666443e-01
2.474720000000000255e+03,5.167581999999999454e-01,4.194173999999999958e-01,3.702300000000000035e-01,4.354685333333332964e-01
2.474960000000000036e+03,4.212646999999999919e-01,3.864896999999999916e-01,3.927420999999999829e-01,4.001654999999999518e-01
2.475210000000000036e+03,3.472059000000000117e-01,4.295914000000000121e-01,2.842143999999999782e-01,3.536705666666666303e-01
2.475449999999999818e+03,3.612992999999999899e-01,3.385194999999999732e-01,3.591147000000000089e-01,3.529778333333333240e-01
2.475699999999999818e+03,3.660143000000000146e-01,3.013913999999999760e-01,3.466756999999999755e-01,3.380271333333333406e-01
2.475940000000000055e+03,3.007250000000000201e-01,3.597476000000000007e-01,3.829859999999999931e-01,3.478195333333333750e-01
2.476190000000000055e+03,4.206300000000000039e-01,4.113782000000000272e-01,3.487048999999999843e-01,3.935710333333333200e-01
2.476430000000000291e+03,4.440579000000000054e-01,4.172991999999999813e-01,4.353621999999999770e-01,4.322397666666666360e-01
2.476670000000000073e+03,4.398077000000000236e-01,5.144176000000000304e-01,4.847565999999999820e-01,4.796606333333333083e-01
2.476919999999999618e+03,5.510471000000000119e-01,4.632691999999999921e-01,5.091339000000000281e-01,5.078167333333333255e-01
2.477159999999999854e+03,5.903825000000000323e-01,5.049367999999999634e-01,5.430928000000000422e-01,5.461373666666666793e-01
2.477409999999999854e+03,6.473634999999999806e-01,6.116525000000000434e-01,5.730423999999999518e-01,6.106861333333332142e-01
2.477650000000000091e+03,6.321759999999999602e-01,6.999841999999999453e-01,5.880098000000000269e-01,6.400566666666666071e-01
2.477900000000000091e+03,6.807889999999999775e-01,6.439941000000000138e-01,6.857037000000000271e-01,6.701622666666665618e-01
2.478139999999999873e+03,7.905292000000000430e-01,7.021853000000000122e-01,5.640452999999999717e-01,6.855866000000000460e-01
2.478389999999999873e+03,6.792677999999999772e-01,6.987786000000000275e-01,6.822133999999999698e-01,6.867532666666665842e-01
2.478630000000000109e+03,6.410226999999999453e-01,6.557857000000000269e-01,6.439006000000000451e-01,6.469030000000000058e-01
2.478880000000000109e+03,6.743848000000000065e-01,6.627490000000000325e-01,6.686862999999999557e-01,6.686067000000001093e-01
2.479119999999999891e+03,5.937913000000000219e-01,6.198356999999999895e-01,6.761696000000000373e-01,6.299321999999999422e-01
2.479369999999999891e+03,6.905670000000000419e-01,7.796823000000000503e-01,6.681846000000000174e-01,7.128112999999999255e-01
2.479620000000000346e+03,6.489599999999999813e-01,7.835345000000000226e-01,7.793373999999999580e-01,7.372773000000000243e-01
2.479860000000000127e+03,8.399476999999999638e-01,8.399014000000000202e-01,8.635369999999999990e-01,8.477953666666667720e-01
2.480109999999999673e+03,7.458844999999999503e-01,8.456782999999999939e-01,9.085005999999999915e-01,8.333544666666666823e-01
2.480349999999999909e+03,1.038645999999999958e+00,1.044613999999999931e+00,1.054721000000000020e+00,1.045993666666666710e+00
2.480599999999999909e+03,1.327671000000000046e+00,1.311784000000000061e+00,1.228202999999999934e+00,1.289219333333333273e+00
2.480850000000000364e+03,1.717837999999999976e+00,1.657988999999999935e+00,1.535047999999999968e+00,1.636958333333333293e+00
2.481090000000000146e+03,2.115491000000000010e+00,1.961729999999999974e+00,2.004424999999999901e+00,2.027215333333332925e+00
2.481339999999999691e+03,2.956919000000000075e+00,2.752590999999999788e+00,2.711590000000000167e+00,2.807033333333333047e+00
2.481579999999999927e+03,3.732505000000000184e+00,3.797629000000000143e+00,3.628152000000000044e+00,3.719428666666666938e+00
2.481829999999999927e+03,4.413286000000000264e+00,4.411381000000000441e+00,4.380107999999999890e+00,4.401591666666667457e+00
2.482079999999999927e+03,4.521841000000000221e+00,4.452154000000000167e+00,4.591032000000000224e+00,4.521675666666666871e+00
2.482320000000000164e+03,4.510064999999999991e+00,4.161624999999999908e+00,4.364116000000000106e+00,4.345268666666666668e+00
2.482570000000000164e+03,3.897469000000000072e+00,3.684668999999999972e+00,3.893304999999999794e+00,3.825147666666666613e+00
2.482819999999999709e+03,3.358182999999999918e+00,3.395160999999999873e+00,3.274340000000000028e+00,3.342561333333333717e+00
2.483059999999999945e+03,2.719380000000000130e+00,2.364491000000000120e+00,2.539775000000000116e+00,2.541215333333333604e+00
2.483309999999999945e+03,2.194662000000000113e+00,1.943060000000000009e+00,2.162475000000000147e+00,2.100065666666667052e+00
2.483560000000000400e+03,1.691604000000000108e+00,1.750747000000000053e+00,1.762991999999999893e+00,1.735114333333333425e+00
2.483809999999999945e+03,1.528275000000000050e+00,1.500739999999999963e+00,1.373836000000000057e+00,1.467616999999999949e+00
2.484049999999999727e+03,1.295989000000000058e+00,1.257698999999999900e+00,1.473832000000000031e+00,1.342506666666666737e+00
2.484300000000000182e+03,1.174776000000000042e+00,1.005522999999999945e+00,1.236976000000000075e+00,1.139091666666666613e+00
2.484550000000000182e+03,1.203454000000000024e+00,1.118726000000000109e+00,1.060559000000000029e+00,1.127579666666666869e+00
