energy,s032,s033,mean
2.463119999999999891e+03,-2.311899999999999979e-03,1.676594999999999908e-03,-3.176525000000000355e-04
2.463360000000000127e+03,-9.944201999999999209e-03,1.286105000000000061e-02,1.458424000000000699e-03
2.463599999999999909e+03,1.885492999999999891e-02,4.029696000000000254e-04,9.628949799999999767e-03
2.463839999999999691e+03,1.132582999999999940e-03,-7.655555999999999993e-03,-3.261486499999999809e-03
2.464079999999999927e+03,-1.692273999999999905e-03,2.594393999999999867e-03,4.510599999999999809e-04
2.464319999999999709e+03,-1.109734000000000068e-02,4.000375999999999932e-03,-3.548482000000000372e-03
2.464559999999999945e+03,1.358622000000000085e-03,-1.960300999999999797e-03,-3.008394999999998562e-04
2.464799999999999727e+03,3.699575999999999993e-03,-1.191951999999999942e-02,-4.109971999999999931e-03
2.465039999999999964e+03,7.439783999999999634e-03,1.866538000000000051e-03,4.653160999999999409e-03
2.465279999999999745e+03,4.712349000000000225e-03,1.772906000000000135e-02,1.122070450000000122e-02
2.465519999999999982e+03,1.819259999999999974e-02,1.060122999999999968e-02,1.439691499999999971e-02
2.465759999999999764e+03,4.095678999999999639e-03,1.188250000000000070e-02,7.989089500000001037e-03
2.466000000000000000e+03,3.463411999999999914e-03,1.159491999999999988e-02,7.529166000000000331e-03
2.466239999999999782e+03,2.049801999999999874e-02,7.199871000000000049e-03,1.384894549999999940e-02
2.466479999999999563e+03,2.207237000000000088e-02,2.808184999999999848e-02,2.507710999999999968e-02
2.466719999999999800e+03,6.457263000000000412e-03,2.134967999999999935e-02,1.390347150000000032e-02
2.466960000000000036e+03,1.962167000000000078e-02,1.898733000000000018e-02,1.930450000000000221e-02
2.467200000000000273e+03,1.894480999999999943e-02,2.441437000000000121e-02,2.167958999999999858e-02
2.467449999999999818e+03,3.816823999999999911e-02,3.689790999999999904e-02,3.753307499999999908e-02
2.467690000000000055e+03,4.801351000000000230e-02,3.955990999999999674e-02,4.378670999999999952e-02
2.467929999999999836e+03,8.440614000000000450e-02,8.260639000000000176e-02,8.350626499999999619e-02
2.468170000000000073e+03,1.325869000000000075e-01,1.815259999999999929e-01,1.570564500000000141e-01
2.468409999999999854e+03,1.918715000000000004e-01,2.619106999999999963e-01,2.268911000000000122e-01
2.468649999999999636e+03,3.030908999999999964e-01,3.355787000000000075e-01,3.193348000000000297e-01
2.468889999999999873e+03,3.473520999999999970e-01,2.123368999999999951e-01,2.798444999999999960e-01
2.469139999999999873e+03,2.431584999999999996e-01,2.389709999999999890e-01,2.410647499999999943e-01
2.469380000000000109e+03,1.715405000000000124e-01,1.537303999999999893e-01,1.626354500000000147e-01
2.469619999999999891e+03,1.534881999999999913e-01,1.586844000000000032e-01,1.560863000000000111e-01
2.469860000000000127e+03,1.722165999999999975e-01,2.545080000000000120e-01,2.133623000000000047e-01
2.470099999999999909e+03,3.209777999999999798e-01,2.914647000000000210e-01,3.062212500000000004e-01
2.470349999999999909e+03,4.900100000000000011e-01,4.961467999999999989e-01,4.930784000000000278e-01
2.470590000000000146e+03,6.930091999999999919e-01,6.751390000000000446e-01,6.840741000000000183e-01
2.470829999999999927e+03,7.157577000000000522e-01,7.233857000000000204e-01,7.195717000000000363e-01
2.471070000000000164e+03,7.572925000000000351e-01,7.676939000000000402e-01,7.624931999999999821e-01
2.471320000000000164e+03,6.755248000000000363e-01,7.672801000000000204e-01,7.214024500000000284e-01
2.471560000000000400e+03,6.714807000000000414e-01,7.113844999999999752e-01,6.914325999999999528e-01
2.471800000000000182e+03,5.697984999999999856e-01,6.521017999999999537e-01,6.109501499999999696e-01
2.472039999999999964e+03,5.916778000000000315e-01,6.837404000000000259e-01,6.377091000000000287e-01
2.472289999999999964e+03,5.045416000000000345e-01,6.069525000000000059e-01,5.557470500000000202e-01
2.472529999999999745e+03,5.426410999999999873e-01,5.576187000000000227e-01,5.501298999999999495e-01
2.472769999999999982e+03,5.713449999999999918e-01,5.634831999999999619e-01,5.674140999999999213e-01
2.473019999999999982e+03,6.107728999999999520e-01,6.875925999999999982e-01,6.491827500000000306e-01
2.473259999999999764e+03,5.659066000000000374e-01,6.490498999999999574e-01,6.074782499999999974e-01
2.473500000000000000e+03,5.584953000000000278e-01,7.095888999999999669e-01,6.340421000000000529e-01
2.473750000000000000e+03,6.331598000000000503e-01,7.201522000000000201e-01,6.766560000000000352e-01
2.473990000000000236e+03,6.185245000000000326e-01,6.273187999999999542e-01,6.229216499999999934e-01
2.474230000000000018e+03,6.310088000000000363e-01,6.465942999999999552e-01,6.388015499999999403e-01
2.474479999999999563e+03,5.606695000000000428e-01,6.110733000000000414e-01,5.858714000000000421e-01
2.474720000000000255e+03,4.699809999999999821e-01,5.525172999999999890e-01,5.112491500000000411e-01
2.474960000000000036e+03,5.187844000000000344e-01,4.868636000000000075e-01,5.028240000000000487e-01
2.475210000000000036e+03,5.163799999999999502e-01,5.227851000000000026e-01,5.195825499999999764e-01
2.475449999999999818e+03,4.650815999999999839e-01,4.536482000000000014e-01,4.593648999999999649e-01
2.475699999999999818e+03,4.272745000000000015e-01,4.389514999999999945e-01,4.331129999999999702e-01
2.475940000000000055e+03,4.778728999999999894e-01,4.882903000000000104e-01,4.830815999999999999e-01
2.476190000000000055e+03,4.837929999999999731e-01,4.181153000000000231e-01,4.509541499999999981e-01
2.476430000000000291e+03,5.544147999999999854e-01,4.942460000000000186e-01,5.243303999999999743e-01
2.476670000000000073e+03,5.817375000000000185e-01,5.811868000000000034e-01,5.814621500000000109e-01
2.476919999999999618e+03,6.071898999999999491e-01,6.221324999999999772e-01,6.146612000000000187e-01
2.477159999999999854e+03,6.080640999999999963e-01,7.087752000000000496e-01,6.584196500000000229e-01
