energy,s034,s035,s036,s037,s038,s039,mean
2.463119999999999891e+03,-7.991764999999999633e-03,8.881676999999999498e-04,6.198648000000000179e-03,-1.477554000000000064e-03,-8.140450000000000463e-03,-1.128598999999999922e-02,-3.634823883333332829e-03
2.463360000000000127e+03,4.252259999999999894e-03,-8.649696000000000337e-04,-7.266655000000000336e-03,-1.104081999999999980e-02,-9.246311000000000113e-03,-1.469126000000000069e-03,-4.272603600000000022e-03
2.463599999999999909e+03,1.165435999999999946e-03,-1.663285000000000111e-02,-4.578765999999999739e-03,-5.306970999999999737e-03,1.641759999999999921e-03,4.315638000000000113e-03,-3.232625500000000426e-03
2.463839999999999691e+03,-1.409741999999999940e-02,5.799136000000000308e-04,-1.950256999999999945e-03,-2.878528000000000098e-04,-7.529298999999999823e-05,5.482891999999999627e-03,-1.724669531666666493e-03
2.464079999999999927e+03,8.624253999999999601e-03,5.943585000000000361e-03,2.711266999999999844e-03,1.884403999999999897e-03,1.563683000000000087e-02,-2.757640999999999912e-03,5.340449833333333479e-03
2.464319999999999709e+03,-3.902220999999999988e-03,3.003921000000000108e-03,5.393382999999999858e-03,-6.643294999999999582e-03,-1.139490999999999941e-02,-3.758540999999999792e-03,-2.883610499999999729e-03
2.464559999999999945e+03,1.043510999999999918e-02,1.142019000000000020e-02,-5.613365000000000151e-04,1.531343999999999934e-02,8.183209999999999790e-03,9.728617999999999641e-03,9.086538583333334668e-03
2.464799999999999727e+03,1.514340999999999994e-03,-4.337958000000000265e-03,5.371624000000000190e-05,7.558643000000000306e-03,3.395163000000000087e-03,-2.558533999999999787e-04,1.321341973333333168e-03
2.465039999999999964e+03,3.596788999999999976e-03,4.339584999999999970e-03,6.116413000000000232e-03,-1.717442000000000014e-03,-9.483570999999999668e-03,9.300302999999999348e-03,2.025346166666666930e-03
2.465279999999999745e+03,2.268237000000000204e-03,1.653998999999999964e-03,-3.888959999999999900e-03,-1.326092000000000069e-03,1.380233999999999975e-02,1.275439000000000087e-02,4.210652333333332782e-03
2.465519999999999982e+03,1.737628000000000089e-02,8.142274999999999166e-03,6.878910999999999706e-03,-5.455271000000000035e-04,8.967397999999999689e-03,1.029683999999999981e-02,8.519362816666667393e-03
2.465759999999999764e+03,1.598876000000000117e-02,2.373356000000000077e-02,1.650563000000000030e-02,-5.668091999999999575e-03,1.522426999999999982e-02,8.038259999999999980e-04,1.109799233333333413e-02
2.466000000000000000e+03,1.551136000000000008e-02,9.947294000000000622e-03,1.048410999999999961e-02,2.384729999999999836e-02,1.594322000000000100e-02,1.240614999999999947e-02,1.468990566666666941e-02
2.466239999999999782e+03,2.658618999999999913e-02,1.806715000000000057e-02,6.465086000000000097e-03,5.331332000000000258e-03,6.744713000000000271e-03,1.442923999999999943e-02,1.293728516666666634e-02
2.466479999999999563e+03,2.390534000000000062e-02,1.936078999999999925e-02,2.211420999999999873e-02,1.894766000000000158e-02,2.609672999999999854e-02,1.069420999999999913e-02,2.018648999999999791e-02
2.466719999999999800e+03,3.370914999999999936e-03,5.063638999999999987e-03,2.465936000000000169e-02,2.351175999999999960e-02,3.296874000000000332e-02,1.859152000000000027e-02,1.802765566666666638e-02
2.466960000000000036e+03,2.246609000000000106e-02,1.780228999999999839e-02,3.544342999999999799e-02,3.253808999999999868e-02,3.622555000000000219e-02,1.707490000000000049e-02,2.692505833333333140e-02
2.467200000000000273e+03,2.348880999999999886e-02,2.295453000000000077e-02,3.682917000000000135e-02,1.165245999999999990e-02,3.717629000000000072e-02,2.647396000000000124e-02,2.642920333333333149e-02
2.467449999999999818e+03,3.529121000000000341e-02,4.003459000000000184e-02,3.296742999999999896e-02,3.794415999999999761e-02,4.235817000000000054e-02,3.275321999999999956e-02,3.689146333333333250e-02
2.467690000000000055e+03,4.509670999999999819e-02,5.358624000000000026e-02,7.566744999999999721e-02,4.069944999999999813e-02,4.956623999999999752e-02,4.902278000000000191e-02,5.227314499999999309e-02
2.467929999999999836e+03,8.963994000000000129e-02,1.108417000000000013e-01,8.230220000000000591e-02,6.418960999999999417e-02,1.151141999999999999e-01,7.836129000000000011e-02,9.007482333333333147e-02
2.468170000000000073e+03,1.866799000000000097e-01,1.466067000000000065e-01,1.861436999999999953e-01,1.246903000000000039e-01,1.576856000000000091e-01,1.374876999999999905e-01,1.565489833333333358e-01
2.468409999999999854e+03,2.901501000000000219e-01,3.196202000000000210e-01,3.472332000000000196e-01,2.361997999999999875e-01,2.156707999999999958e-01,2.884881999999999724e-01,2.828937166666666836e-01
2.468649999999999636e+03,4.150479000000000251e-01,4.033861999999999726e-01,4.546138000000000123e-01,3.788236999999999854e-01,4.535705999999999904e-01,4.067310000000000092e-01,4.186955333333333140e-01
2.468889999999999873e+03,3.927475999999999745e-01,3.804441000000000073e-01,4.048700000000000077e-01,3.806751999999999914e-01,3.376741999999999799e-01,3.766325999999999841e-01,3.788406166666666297e-01
2.469139999999999873e+03,2.994409000000000098e-01,3.529355000000000131e-01,3.149460000000000037e-01,2.150931000000000093e-01,2.252510000000000068e-01,3.041939000000000171e-01,2.853100666666666951e-01
2.469380000000000109e+03,2.375724999999999920e-01,2.256463999999999970e-01,2.053898999999999864e-01,1.955620000000000136e-01,2.367278999999999911e-01,1.729099000000000053e-01,2.123014333333333725e-01
2.469619999999999891e+03,1.398040999999999867e-01,2.113829000000000125e-01,2.014772999999999981e-01,1.142877999999999949e-01,2.065398999999999985e-01,1.816890999999999923e-01,1.758635166666666638e-01
2.469860000000000127e+03,2.577268999999999810e-01,2.256253000000000009e-01,2.140386999999999984e-01,2.115535000000000054e-01,2.328340999999999883e-01,2.068597000000000075e-01,2.247730333333333441e-01
2.470099999999999909e+03,4.197898999999999936e-01,3.631581999999999866e-01,3.098364000000000118e-01,3.148539000000000199e-01,3.349619999999999820e-01,3.475015000000000187e-01,3.483503166666666595e-01
2.470349999999999909e+03,5.608229000000000131e-01,6.721629999999999550e-01,6.382891000000000536e-01,5.619912000000000241e-01,6.371295000000000153e-01,4.851573000000000135e-01,5.925921666666666976e-01
2.470590000000000146e+03,8.478027999999999675e-01,8.143764999999999477e-01,7.192043000000000186e-01,7.477856000000000503e-01,7.521908999999999956e-01,7.685737999999999737e-01,7.749889833333333256e-01
2.470829999999999927e+03,8.011859000000000064e-01,8.528508999999999673e-01,7.946530000000000538e-01,7.560375000000000290e-01,8.773741000000000456e-01,6.872084999999999999e-01,7.948849833333334614e-01
2.471070000000000164e+03,8.495823000000000125e-01,8.477618999999999572e-01,9.540918999999999928e-01,8.877279000000000142e-01,8.503372000000000153e-01,7.849249000000000365e-01,8.624043499999999307e-01
2.471320000000000164e+03,7.918834000000000151e-01,8.269533000000000023e-01,8.696422000000000319e-01,8.277965999999999935e-01,8.728679000000000299e-01,7.200429000000000412e-01,8.181977166666666301e-01
2.471560000000000400e+03,8.618055999999999495e-01,7.567918999999999619e-01,7.509966999999999615e-01,6.430945000000000134e-01,7.157945000000000002e-01,7.023892999999999942e-01,7.384787499999999616e-01
2.471800000000000182e+03,6.705704000000000109e-01,6.074810999999999961e-01,6.895326999999999984e-01,6.324921000000000015e-01,6.706282000000000076e-01,6.608867999999999965e-01,6.552652166666667055e-01
2.472039999999999964e+03,6.911266999999999827e-01,6.273227000000000109e-01,6.395967999999999654e-01,6.015089999999999604e-01,7.047255999999999521e-01,6.255994000000000277e-01,6.483133666666666128e-01
2.472289999999999964e+03,6.461421000000000525e-01,6.088881999999999906e-01,6.464771999999999741e-01,6.232849999999999779e-01,6.287884999999999724e-01,5.568018999999999608e-01,6.183971499999999510e-01
2.472529999999999745e+03,5.777748000000000328e-01,6.028582000000000107e-01,5.854373000000000493e-01,5.669309999999999627e-01,6.099025999999999614e-01,6.101408999999999860e-01,5.921741333333332413e-01
2.472769999999999982e+03,5.877719999999999612e-01,5.872408999999999546e-01,5.838172999999999835e-01,6.481913999999999731e-01,5.686098000000000541e-01,5.470580000000000442e-01,5.871148999999999951e-01
2.473019999999999982e+03,7.050804999999999989e-01,6.074562999999999491e-01,5.467887000000000164e-01,6.391854000000000147e-01,6.870351000000000097e-01,6.017517999999999478e-01,6.312163000000000634e-01
2.473259999999999764e+03,7.363568000000000335e-01,7.243981999999999921e-01,7.394802999999999793e-01,6.913487000000000382e-01,6.215766999999999820e-01,6.319249000000000116e-01,6.908476000000000061e-01
2.473500000000000000e+03,6.608813000000000049e-01,7.629099000000000297e-01,6.924308999999999603e-01,7.236460000000000115e-01,7.680934000000000372e-01,7.340400999999999732e-01,7.236669333333333176e-01
2.473750000000000000e+03,7.650312999999999697e-01,7.024120000000000363e-01,7.587312000000000500e-01,6.759699000000000124e-01,7.895564999999999944e-01,6.359198000000000350e-01,7.212701166666666275e-01
