energy,s042,s043,s051,mean
2.463119999999999891e+03,3.418884999999999980e-03,1.134572000000000011e-02,-1.448978000000000071e-02,9.160833333333312511e-05
2.463360000000000127e+03,-6.013374000000000150e-03,-1.513477999999999959e-03,-3.465835000000000009e-03,-3.664229000000000184e-03
2.463599999999999909e+03,8.191148999999999999e-03,-1.201969999999999948e-02,1.136555000000000031e-03,-8.973319999999998173e-04
2.463839999999999691e+03,1.570369000000000062e-03,-2.446733999999999888e-03,1.050032000000000049e-02,3.207985000000000003e-03
2.464079999999999927e+03,-3.763241999999999976e-03,5.722019000000000064e-03,-8.125314999999999274e-03,-2.055512666666666540e-03
2.464319999999999709e+03,2.620644000000000098e-03,-2.053829000000000071e-03,1.734333000000000055e-02,5.970048333333334394e-03
2.464559999999999945e+03,-1.227198999999999998e-03,2.462947999999999960e-03,-9.014288000000000509e-03,-2.592846333333333805e-03
2.464799999999999727e+03,-4.797232000000000232e-03,-1.496942999999999928e-03,6.115019999999999657e-03,-5.971833333333342875e-05
2.465039999999999964e+03,2.786265000000000009e-03,-6.895408999999999913e-03,-1.448978000000000071e-02,-6.199641333333334552e-03
2.465279999999999745e+03,1.069903000000000087e-03,1.003995000000000061e-02,-1.448978000000000071e-02,-1.126642333333333123e-03
2.465519999999999982e+03,4.126531000000000014e-04,1.091803000000000044e-02,9.257131000000000040e-03,6.862604700000000252e-03
2.465759999999999764e+03,-2.952890000000000115e-03,1.687431000000000000e-02,1.728303000000000131e-02,1.040148333333333446e-02
2.466000000000000000e+03,3.778196000000000158e-03,-2.972007000000000034e-03,1.321042000000000050e-02,4.672203000000000640e-03
2.466239999999999782e+03,2.151780999999999833e-02,2.229830000000000007e-02,1.841643999999999920e-02,2.074418333333333253e-02
2.466479999999999563e+03,1.861246999999999902e-02,1.864941000000000168e-02,1.458992999999999922e-02,1.728393666666666606e-02
2.466719999999999800e+03,2.088912000000000060e-02,1.711659999999999918e-02,1.161965999999999981e-04,1.270730553333333269e-02
2.466960000000000036e+03,2.033203000000000094e-02,1.523612000000000057e-02,1.364306000000000026e-02,1.640373666666666494e-02
2.467200000000000273e+03,4.147925000000000223e-02,5.027772999999999964e-02,3.575061999999999685e-02,4.250253333333333522e-02
2.467449999999999818e+03,3.842129999999999851e-02,4.607307000000000069e-02,3.648766999999999983e-02,4.032734666666666634e-02
2.467690000000000055e+03,4.669068999999999997e-02,4.203598000000000057e-02,6.430328000000000432e-02,5.100998333333334189e-02
2.467929999999999836e+03,8.596014999999999906e-02,6.860974999999999713e-02,7.380309999999999648e-02,7.612433333333333552e-02
2.468170000000000073e+03,1.181746000000000046e-01,1.130501000000000006e-01,1.519617000000000051e-01,1.277288000000000034e-01
2.468409999999999854e+03,2.167914999999999981e-01,2.229855000000000032e-01,2.238079000000000041e-01,2.211949666666666869e-01
