energy,s008,s009,s010,s011,s012,s013,s014,s015,mean
2.463119999999999891e+03,-1.193588000000000065e-04,-6.933209000000000073e-03,-6.563153999999999863e-03,1.177192000000000082e-03,1.246703000000000047e-02,-4.765669999999999629e-03,2.209801999999999860e-03,-9.256914999999999241e-03,-1.473035349999999829e-03
2.463360000000000127e+03,-2.996250000000000215e-03,-5.576193000000000122e-03,-7.098011000000000424e-03,3.689933999999999966e-04,3.838924999999999976e-03,-6.442045000000000410e-03,-3.734298999999999952e-03,7.672700000000000180e-03,-1.745772449999999972e-03
2.463599999999999909e+03,8.228106000000000655e-03,-8.015012000000000178e-03,1.772216999999999976e-03,8.540909999999999648e-04,-7.064728999999999627e-03,-2.518029000000000187e-03,4.698192000000000340e-03,-4.020761000000000300e-03,-7.582406249999998652e-04
2.463839999999999691e+03,-4.307588000000000215e-03,9.971419000000000463e-03,3.360374000000000173e-03,1.158921000000000040e-03,-3.313257999999999915e-03,3.214291000000000197e-03,4.121307000000000269e-03,-2.003847000000000061e-04,1.750635162500000386e-03
2.464079999999999927e+03,-5.016198000000000358e-03,-1.209432999999999992e-03,-2.365519999999999862e-03,5.775709999999999872e-03,-1.069953000000000050e-02,-1.582733999999999920e-03,-3.117884999999999927e-03,-1.053060999999999928e-02,-3.593274999999999941e-03
2.464319999999999709e+03,-1.404745999999999903e-03,1.202970999999999945e-03,1.385441999999999967e-03,7.034488000000000199e-03,-4.714745999999999694e-03,7.150974000000000046e-03,-1.063634999999999928e-02,6.859613999999999989e-03,8.597058750000000776e-04
2.464559999999999945e+03,2.066915999999999805e-03,8.725929999999999798e-03,3.778918000000000034e-03,-7.498681000000000096e-03,9.692324999999999899e-03,-4.024123000000000110e-03,-1.525525999999999922e-03,6.714720000000000411e-03,2.241309875000000330e-03
2.464799999999999727e+03,3.549118999999999885e-03,1.833526000000000036e-03,5.729732999999999875e-03,-8.870714000000000030e-03,-2.060157999999999868e-04,8.967334999999999889e-03,7.984760999999999942e-03,2.761636000000000039e-03,2.718672525000000173e-03
2.465039999999999964e+03,2.334595000000000073e-02,4.845605999999999698e-03,2.218463000000000032e-02,1.002963999999999939e-02,-1.194931999999999939e-02,-6.997789000000000061e-06,3.842546999999999977e-03,1.367638000000000013e-02,8.246054401375000134e-03
2.465279999999999745e+03,3.819833999999999816e-03,1.209631000000000074e-02,1.626907000000000006e-02,1.364720000000000039e-03,-4.980008999999999705e-05,-3.393606999999999874e-03,-2.753726000000000177e-03,1.428562000000000061e-02,5.204802613750000168e-03
2.465519999999999982e+03,8.438803999999999403e-03,7.142523999999999922e-04,1.101877000000000065e-02,9.876869999999999400e-03,1.232599000000000021e-02,9.216599000000000666e-03,1.258892999999999991e-02,5.262517999999999883e-03,8.680341674999999743e-03
2.465759999999999764e+03,1.681937000000000015e-02,1.931816000000000089e-02,1.174757000000000058e-02,2.456264000000000104e-03,7.197125000000000397e-03,9.299668000000000517e-03,1.930412999999999964e-03,6.784575000000000154e-03,9.444143125000000263e-03
2.466000000000000000e+03,2.191734999999999864e-02,1.387785000000000060e-02,2.398250999999999855e-02,1.911985000000000073e-02,1.441172999999999933e-02,2.160165000000000002e-02,2.423801000000000080e-02,1.191124000000000002e-02,1.888252374999999789e-02
2.466239999999999782e+03,2.534240000000000104e-02,1.947230000000000141e-02,1.089474999999999992e-02,-9.097103999999999954e-03,1.409666000000000044e-02,2.395834000000000158e-02,2.572783999999999835e-02,2.074080999999999841e-02,1.639199950000000058e-02
2.466479999999999563e+03,-1.324454000000000083e-02,2.170814000000000077e-02,1.218062999999999958e-02,2.051938000000000026e-02,9.646438999999999708e-03,2.534867000000000023e-02,1.603047000000000152e-02,3.056197999999999901e-02,1.534389612500000090e-02
2.466719999999999800e+03,2.771577000000000068e-02,4.408738999999999714e-02,2.908273000000000108e-02,1.924947000000000116e-02,1.027096000000000085e-02,1.931070000000000009e-02,3.182737000000000066e-02,1.420763000000000017e-03,2.287064412500000241e-02
2.466960000000000036e+03,1.074638999999999976e-02,2.983227999999999921e-02,2.739360999999999879e-02,3.113070000000000073e-02,2.082555000000000170e-02,1.312350999999999969e-02,1.894266000000000005e-02,3.248761000000000010e-02,2.306028874999999784e-02
2.467200000000000273e+03,2.022424000000000097e-02,3.015156000000000086e-02,2.180303000000000102e-02,3.672584000000000265e-02,1.381958999999999965e-02,2.962638999999999898e-02,3.647112000000000270e-02,6.394270000000000509e-02,3.159555875000000236e-02
2.467449999999999818e+03,6.144655999999999729e-02,2.938918000000000086e-02,2.875791000000000111e-02,2.978735000000000063e-02,4.182241999999999904e-02,5.184219999999999801e-02,6.039375999999999772e-02,4.576438000000000034e-02,4.365046999999999677e-02
2.467690000000000055e+03,5.931662000000000046e-02,6.976886999999999672e-02,7.151688000000000489e-02,7.897426000000000446e-02,3.990532000000000107e-02,6.331710999999999590e-02,6.843552999999999442e-02,7.655613999999999475e-02,6.597384124999999822e-02
2.467929999999999836e+03,8.865845999999999449e-02,1.052865000000000051e-01,9.500833999999999668e-02,7.876418000000000308e-02,1.004678999999999989e-01,7.811943999999999833e-02,1.055671999999999999e-01,9.639451999999999743e-02,9.353331750000000444e-02
2.468170000000000073e+03,1.319093000000000071e-01,1.749951999999999896e-01,1.931322000000000039e-01,1.539528000000000008e-01,1.595242000000000049e-01,1.548636999999999930e-01,1.597853999999999941e-01,1.786773999999999862e-01,1.633550250000000148e-01
2.468409999999999854e+03,3.532631999999999994e-01,3.122226000000000168e-01,3.316143999999999759e-01,3.741279000000000132e-01,2.858801000000000259e-01,2.715129000000000015e-01,3.400803000000000020e-01,3.620785000000000253e-01,3.288474874999999797e-01
2.468649999999999636e+03,4.340258000000000171e-01,4.589077999999999768e-01,4.599383000000000221e-01,4.556749999999999967e-01,4.028705000000000203e-01,4.325570000000000248e-01,4.068558999999999926e-01,4.761450999999999878e-01,4.408719250000000534e-01
