energy,s031,s032,s033,s034,mean
2.463119999999999891e+03,-4.645632999999999707e-03,-1.094778000000000071e-02,-1.196511999999999923e-02,-1.621147000000000083e-03,-7.294919999999999877e-03
2.463360000000000127e+03,-3.491254999999999966e-03,-2.045992000000000112e-04,6.057950000000000097e-04,-8.724321000000000159e-03,-2.953595050000000066e-03
2.463599999999999909e+03,3.237991999999999867e-03,1.038936000000000026e-02,-3.172588999999999965e-03,-5.465644000000000405e-03,1.247279750000000048e-03
2.463839999999999691e+03,1.048677999999999937e-02,-1.747719999999999916e-03,3.988292000000000052e-03,1.211106999999999895e-03,3.484614750000000066e-03
2.464079999999999927e+03,-2.556994999999999841e-03,-1.646957000000000108e-03,-2.224058000000000111e-03,-2.934855000000000103e-03,-2.340716250000000366e-03
2.464319999999999709e+03,1.044976000000000065e-02,-4.710469999999999588e-03,-3.167475999999999799e-03,1.456433000000000033e-02,4.284036000000000614e-03
2.464559999999999945e+03,-8.616425999999999946e-03,5.142609000000000243e-03,5.423153000000000001e-03,5.212886999999999816e-04,6.176561750000000156e-04
2.464799999999999727e+03,-4.864214999999999858e-03,3.725556000000000093e-03,1.051200000000000051e-02,2.449237999999999849e-03,2.955644749999999932e-03
2.465039999999999964e+03,6.304859999999999805e-03,7.768980000000000417e-04,-2.200089000000000124e-03,1.063944000000000001e-02,3.880277249999999987e-03
2.465279999999999745e+03,3.644614000000000013e-03,-8.700929000000000258e-04,4.845261000000000012e-03,1.978775999999999799e-03,2.399639524999999923e-03
2.465519999999999982e+03,6.179139999999999633e-03,7.636696000000000109e-03,-6.842298000000000130e-03,7.510984000000000063e-03,3.621130499999999919e-03
2.465759999999999764e+03,2.784543999999999908e-02,6.728309000000000026e-03,5.454711999999999582e-03,6.418294000000000115e-05,1.002316098499999968e-02
2.466000000000000000e+03,9.987061000000000202e-03,1.465756000000000003e-02,3.175096000000000168e-02,1.694031000000000009e-02,1.833397275000000007e-02
2.466239999999999782e+03,8.610391000000000225e-03,1.727802000000000157e-02,1.004053000000000063e-02,3.112759999999999833e-02,1.676413524999999932e-02
2.466479999999999563e+03,2.161066000000000029e-02,1.628736000000000073e-02,-1.982770999999999926e-03,1.682192999999999883e-02,1.318429475000000052e-02
2.466719999999999800e+03,3.136975999999999654e-02,1.677178000000000002e-02,9.201776000000000053e-03,3.177598000000000228e-02,2.227982400000000016e-02
2.466960000000000036e+03,2.509056000000000133e-02,-1.521085999999999966e-02,1.301875000000000081e-02,3.218813000000000230e-02,1.377164500000000076e-02
2.467200000000000273e+03,2.463626999999999831e-02,2.295434000000000016e-02,1.160721999999999969e-02,2.966629999999999961e-02,2.221603249999999988e-02
2.467449999999999818e+03,3.114029999999999923e-02,2.412608000000000114e-02,3.499675000000000008e-02,1.448502999999999943e-02,2.618703999999999824e-02
2.467690000000000055e+03,5.932814000000000143e-02,4.797930000000000250e-02,6.030428000000000177e-02,3.829376000000000307e-02,5.147637000000000740e-02
2.467929999999999836e+03,6.366391999999999884e-02,5.687293000000000209e-02,6.233724000000000209e-02,8.811813000000000284e-02,6.774805500000000147e-02
2.468170000000000073e+03,1.442058999999999980e-01,1.176438999999999957e-01,1.299269999999999869e-01,1.387385999999999897e-01,1.326288500000000203e-01
2.468409999999999854e+03,1.522681999999999924e-01,1.829719999999999958e-01,1.878894999999999871e-01,2.275311999999999890e-01,1.876652249999999911e-01
2.468649999999999636e+03,2.420892000000000044e-01,2.985553000000000234e-01,2.481833999999999985e-01,2.972937999999999970e-01,2.715304250000000197e-01
2.468889999999999873e+03,2.541282000000000263e-01,2.958393000000000272e-01,2.470504000000000033e-01,2.090599999999999958e-01,2.515194749999999924e-01
2.469139999999999873e+03,1.906134999999999913e-01,2.372865999999999864e-01,2.556857000000000157e-01,2.515923999999999938e-01,2.337945499999999899e-01
