energy,s039,s040,s041,s042,s043,s044,s045,s046,s047,mean
2.463119999999999891e+03,-6.372980999999999785e-03,-2.833251999999999754e-04,2.445061000000000086e-06,-2.808155000000000113e-03,-1.453108000000000004e-02,2.596414999999999921e-03,3.002289999999999907e-03,1.401079000000000040e-02,2.027858999999999912e-03,-2.617491265555549665e-04
2.463360000000000127e+03,-1.841207999999999994e-03,-7.674522000000000245e-04,4.458440000000000146e-03,1.304569000000000041e-02,-9.335483000000000323e-03,-8.686942000000000014e-04,1.414070000000000084e-02,-4.179068000000000192e-03,7.582186999999999781e-03,2.470567955555555591e-03
2.463599999999999909e+03,4.420196999999999841e-03,-9.387757000000000046e-03,5.433246000000000082e-03,-5.256460000000000125e-03,4.375847000000000417e-03,-4.819124999999999624e-03,-5.505681999999999590e-03,-3.612943999999999878e-03,8.002174000000000136e-04,-1.505828955555555326e-03
2.463839999999999691e+03,3.079463000000000165e-03,4.872341999999999992e-03,5.934059999999999682e-03,3.723281000000000160e-03,-4.960616000000000157e-03,5.222178000000000063e-03,7.145906999999999953e-03,6.199815000000000013e-03,-2.851854999999999928e-03,3.151619444444444390e-03
2.464079999999999927e+03,-4.456479999999999643e-03,-7.981148999999999882e-03,1.599720000000000005e-03,-6.385133999999999775e-04,2.362762999999999929e-03,5.930710000000000278e-04,-2.811787999999999961e-03,4.965012999999999892e-04,1.338873999999999880e-04,-1.189109744444444066e-03
2.464319999999999709e+03,9.317264000000000448e-03,4.358372999999999588e-03,-1.503299999999999949e-03,1.950474000000000055e-04,-7.021908000000000316e-03,-1.280265000000000049e-03,2.874091999999999966e-03,-9.093472999999999487e-03,-1.485898000000000036e-03,-4.044519555555553167e-04
2.464559999999999945e+03,6.579549999999999982e-03,1.078650999999999915e-02,-2.282335999999999827e-03,-2.830224000000000108e-03,2.093700000000000075e-02,1.526780999999999971e-02,-1.188447999999999935e-02,-7.691446999999999694e-03,-4.178282000000000176e-03,2.744900111111110968e-03
2.464799999999999727e+03,-1.072580000000000061e-02,-1.597541000000000065e-03,-1.364227999999999968e-02,-5.430660999999999822e-03,8.173468999999999179e-03,-1.671138999999999958e-02,-6.961034999999999966e-03,3.869824000000000007e-03,-2.028115000000000039e-03,-5.005947666666666490e-03
2.465039999999999964e+03,4.793437000000000218e-03,1.896810999999999983e-02,-1.239472999999999964e-02,-5.923028999999999794e-03,1.189606999999999991e-02,-5.846577999999999845e-03,9.278084000000000678e-03,8.315585000000000337e-03,2.439413000000000085e-03,3.502929111111111309e-03
2.465279999999999745e+03,1.429496000000000065e-02,2.438883000000000023e-02,6.932223000000000378e-03,1.536466000000000047e-02,9.015696000000000127e-03,9.089926999999999382e-03,-1.188447999999999935e-02,-1.184116999999999939e-03,-6.086976000000000019e-03,6.658969222222222220e-03
2.465519999999999982e+03,-1.115023000000000056e-02,4.613634999999999611e-03,1.592228999999999867e-02,1.956130000000000022e-02,2.182161000000000170e-03,5.102665999999999626e-03,4.532623999999999855e-03,1.491358999999999914e-02,5.995382999999999962e-03,6.852602111111110068e-03
2.465759999999999764e+03,1.109542999999999988e-02,1.360526999999999917e-02,6.292752000000000415e-03,4.949750000000000157e-03,1.195153000000000014e-02,-2.012435999999999826e-03,3.068086000000000077e-02,6.371591000000000234e-03,-2.433199000000000039e-03,8.944616444444445508e-03
