energy,s055,s056,s057,s058,s059,mean
2.463119999999999891e+03,3.993581000000000387e-03,2.590003999999999917e-03,-5.798697000000000226e-04,-8.537824000000000064e-04,1.285671000000000036e-02,3.601328580000000279e-03
2.463360000000000127e+03,-8.295702000000000284e-03,1.312210999999999933e-02,2.938649000000000209e-03,-3.100018999999999865e-03,-8.588932999999999984e-03,-7.847790000000002056e-04
2.463599999999999909e+03,2.283622999999999816e-03,7.191854000000000129e-03,-6.595265999999999802e-03,-2.256825999999999971e-03,4.286947999999999627e-03,9.820665999999999597e-04
2.463839999999999691e+03,1.505391000000000021e-02,-1.059838999999999920e-02,9.024792000000000447e-04,-1.529397000000000048e-03,-1.149837000000000081e-02,-1.533953559999999940e-03
2.464079999999999927e+03,-8.824919999999999987e-03,1.613513000000000013e-03,-6.595265999999999802e-03,1.221003999999999926e-03,4.322988999999999955e-04,-2.430674019999999776e-03
2.464319999999999709e+03,-3.837762000000000204e-03,-7.441238999999999666e-03,3.353367999999999800e-03,3.691470000000000081e-03,1.307800999999999929e-02,1.768769399999999600e-03
2.464559999999999945e+03,-2.019082000000000168e-03,-5.094829999999999845e-03,6.914161999999999739e-03,3.392404000000000122e-04,9.317004999999999948e-04,2.142381799999999357e-04
2.464799999999999727e+03,1.646349000000000076e-03,-1.383019999999999996e-03,-3.382557000000000012e-04,2.488310000000000088e-03,-1.149837000000000081e-02,-1.816997340000000042e-03
2.465039999999999964e+03,9.930582999999999771e-03,6.232048999999999922e-03,1.710404999999999912e-02,1.010137000000000014e-02,7.651659999999999582e-04,8.826643599999999673e-03
2.465279999999999745e+03,2.918660999999999912e-03,-2.341942999999999976e-03,1.991010000000000002e-02,-6.443096000000000153e-04,2.257017999999999872e-02,8.482537679999999081e-03
2.465519999999999982e+03,2.445814000000000148e-03,-3.757569000000000100e-03,5.186111999999999667e-03,-2.415796000000000002e-03,9.882898999999999243e-04,4.893701799999998622e-04
2.465759999999999764e+03,-8.824919999999999987e-03,8.591572999999999918e-03,8.720548999999999315e-03,6.052982999999999844e-04,9.470032999999999229e-03,3.712506659999999063e-03
2.466000000000000000e+03,6.424463000000000049e-03,6.921440000000000058e-03,4.209000000000000068e-03,2.014617999999999964e-02,5.232294000000000181e-03,8.586675399999998612e-03
2.466239999999999782e+03,1.553147000000000034e-02,8.381001000000000770e-03,1.209280000000000077e-02,4.152687999999999974e-04,1.763032999999999961e-02,1.081017396000000068e-02
2.466479999999999563e+03,2.074722999999999845e-02,6.849965999999999867e-03,1.053010000000000057e-02,1.407388000000000042e-02,-3.478878999999999826e-03,9.744459400000000590e-03
2.466719999999999800e+03,3.603505999999999810e-03,1.532335999999999941e-02,9.423317000000000498e-03,8.231653999999999707e-03,3.455689999999999977e-03,8.007505399999999968e-03
2.466960000000000036e+03,6.938335999999999809e-03,1.420103999999999984e-02,7.726163999999999775e-03,2.979045999999999951e-03,8.972954999999999473e-03,8.163508199999999077e-03
2.467200000000000273e+03,1.292570000000000004e-02,1.026009999999999943e-02,2.533064000000000149e-02,1.905569000000000013e-02,1.553268000000000010e-02,1.662096199999999954e-02
2.467449999999999818e+03,-8.824919999999999987e-03,2.083312000000000011e-02,-6.595265999999999802e-03,2.064846000000000042e-02,3.025390999999999844e-02,1.126306079999999862e-02
2.467690000000000055e+03,2.457103000000000065e-02,3.356470999999999760e-02,2.170789000000000052e-02,4.689263999999999932e-02,6.103269000000000055e-02,3.755379199999999557e-02
2.467929999999999836e+03,4.212190999999999852e-02,4.742240999999999818e-02,3.172959000000000196e-02,4.626787999999999734e-02,2.505980999999999834e-02,3.852031999999999679e-02
2.468170000000000073e+03,7.597618000000000427e-02,8.235657999999999868e-02,6.724394000000000204e-02,8.304185999999999512e-02,1.107429000000000052e-01,8.387229199999998719e-02
2.468409999999999854e+03,1.359776000000000040e-01,1.081305000000000044e-01,8.774237000000000009e-02,1.012297000000000058e-01,1.449046999999999974e-01,1.155969739999999912e-01
2.468649999999999636e+03,1.709924999999999917e-01,1.839330999999999883e-01,1.265421999999999936e-01,1.561961000000000044e-01,1.821697999999999928e-01,1.639667399999999997e-01
2.468889999999999873e+03,1.858387999999999984e-01,1.643872000000000111e-01,1.372921000000000002e-01,1.415231000000000128e-01,1.014449999999999935e-01,1.460972400000000171e-01
2.469139999999999873e+03,1.863081000000000043e-01,1.061123000000000066e-01,1.519233000000000111e-01,1.232380000000000003e-01,1.191595000000000015e-01,1.373482399999999826e-01
2.469380000000000109e+03,1.296623000000000081e-01,1.092327000000000020e-01,9.417562000000000155e-02,9.878182000000000629e-02,1.054830999999999963e-01,1.074671080000000056e-01
2.469619999999999891e+03,1.016196000000000044e-01,9.776882000000000628e-02,9.498737999999999626e-02,1.188624999999999959e-01,1.097222000000000058e-01,1.045921000000000073e-01
2.469860000000000127e+03,8.970740000000000658e-02,1.085925999999999975e-01,1.044795000000000029e-01,1.239077999999999985e-01,9.309099999999999320e-02,1.039556600000000053e-01
2.470099999999999909e+03,1.963780999999999999e-01,1.424556999999999907e-01,1.795498000000000094e-01,2.114633999999999958e-01,1.353118000000000098e-01,1.730317599999999789e-01
2.470349999999999909e+03,2.941177999999999848e-01,2.831022000000000260e-01,2.100017999999999885e-01,2.344530999999999976e-01,2.188489000000000129e-01,2.481047600000000075e-01
2.470590000000000146e+03,3.015377000000000196e-01,3.545970999999999984e-01,3.472580000000000111e-01,3.118192000000000186e-01,3.907665000000000166e-01,3.411956999999999907e-01
2.470829999999999927e+03,3.681504999999999916e-01,3.732325000000000226e-01,2.645842999999999945e-01,2.890124000000000026e-01,3.582315999999999834e-01,3.306422600000000211e-01
